"display";"code";"request_result";"examination_result";"scale";"unit_measure";"method";"specimen"
Amoeba identified in Stool by Organism specific culture;"10643-5";Permintaan & Hasil;Nominal;Nom;;Organism specific culture;Feses
Filaria identified in Blood by Concentration;"10662-5";Permintaan & Hasil;Nominal;Nom;;Concentration;Darah
Filaria identified in Blood by Thick film;"10663-3";Permintaan & Hasil;Nominal;Nom;;Thick film;Darah
Filaria identified in Blood by Thin film;"10664-1";Permintaan & Hasil;Nominal;Nom;;Thin film;Darah
Microscopic observation [Identifier] in Hair by KOH preparation;"10688-0";Permintaan & Hasil;Nominal;Nom;;KOH preparation;Bulu Mata
Microscopic observation [Identifier] in Nail by KOH preparation;"10689-8";Permintaan & Hasil;Nominal;Nom;;KOH preparation;Kuku
Ova and parasites identified in Stool by Light microscopy;"10704-5";Permintaan & Hasil;Nominal;Nom;;Microscopy.light;Feses
Ova and parasites identified in Stool by Light microscopy;"10704-5";Permintaan & Hasil;Nominal;Nom;;Microscopy.light;Feses
Ova and parasites identified in Stool by Light microscopy;"10704-5";Permintaan & Hasil;Nominal;Nom;;Microscopy.light;Feses
Ova and parasites identified in Stool by Light microscopy;"10704-5";Permintaan & Hasil;Nominal;Nom;;Microscopy.light;Feses
Plasmodium sp identified in Blood by Thin film;"10710-2";Permintaan & Hasil;Nominal;Nom;;Thin film;Darah
Cefotaxime [Susceptibility] by Minimum inhibitory concentration (MIC);"108-1";Hasil;OrdQn;OrdQn;;MIC;Isolat
Globulin [Mass/volume] in Serum by calculation;"10834-0";Permintaan & Hasil;Quantitative;Qn;g/L;Calculated;Serum
Lipoprotein a [Mass/volume] in Serum or Plasma;"10835-7";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
Lipoprotein a [Mass/volume] in Serum or Plasma;"10835-7";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
Escherichia coli O157:H7 [Presence] in Stool by Organism specific culture;"10851-4";Permintaan & Hasil;Ordinal;Ord;;Organism specific culture;Feses
Prostate Specific Ag Free [Mass/volume] in Serum or Plasma;"10886-0";Permintaan & Hasil;Quantitative;Qn;ng/mL;;Serum
Lipase [Enzymatic activity/volume] in Urine;"10888-6";Permintaan & Hasil;Quantitative;Qn;U/L;;Urine
Lead [Mass/volume] in Serum or Plasma;"10912-4";Permintaan & Hasil;Quantitative;Qn;ug/dL;;Serum/Plasma
Hepatitis C virus RNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection;"11011-4";Permintaan & Hasil;Quantitative;Qn;k[IU]/mL;Probe.amp.tar;Serum/Plasma
Hepatitis C virus RNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection;"11011-4";Permintaan & Hasil;Quantitative;Qn;k[IU]/mL;Probe.amp.tar;Serum/Plasma
Microscopic observation [Identifier] in Blood or Marrow by Peroxidase stain;"11018-9";Permintaan & Hasil;Nominal;Nom;;Peroxidase stain;Sumsum tulang
Microscopic observation [Identifier] in Blood or Marrow by Sudan black B stain;"11019-7";Permintaan & Hasil;Nominal;Nom;;Sudan black B stain;Sumsum tulang
Microscopic observation [Identifier] in Blood or Marrow by Tartrate-resistant acid phosphatase stain;"11020-5";Permintaan & Hasil;Nominal;Nom;;Tartrate-resistant acid phosphatase stain;Sumsum tulang
Consistency of Stool;"11029-6";Hasil;Nominal;Nom;;;Feses
C reactive protein [Presence] in Serum or Plasma;"11039-5";Permintaan & Hasil;Ordinal;Ord;;;Serum
Cholesterol in LDL/Cholesterol in HDL [Mass Ratio] in Serum or Plasma;"11054-4";Hasil;Quantitative;Qn;{ratio};;Serum
Reducing substances [Presence] in Stool;"11060-1";Permintaan & Hasil;Ordinal;Ord;;;Feses
Reducing substances [Presence] in Stool;"11060-1";Permintaan & Hasil;Ordinal;Ord;;;Feses
Microscopic observation [Identifier] in Body fluid by Cyto stain;"11068-4";Permintaan & Hasil;Nominal;Nom;;Cyto stain;Cairan tubuh
Microscopic observation [Identifier] in Urine by Cyto stain;"11070-0";Permintaan & Hasil;Nominal;Nom;;Cyto stain;Urine
Band form neutrophils/100 cells in Bone marrow by Manual count;"11103-9";Hasil;Quantitative;Qn;%;Manual count;Sumsum tulang
Normoblasts Basophilic/100 cells in Bone marrow by Manual count;"11104-7";Hasil;Quantitative;Qn;%;Manual count;Sumsum tulang
Basophils/100 cells in Bone marrow by Manual count;"11105-4";Hasil;Quantitative;Qn;%;Manual count;Sumsum tulang
Basophils/100 cells in Bone marrow by Manual count;"11105-4";Hasil;Quantitative;Qn;%;Manual count;Sumsum tulang
Eosinophils/100 cells in Bone marrow by Manual count;"11106-2";Hasil;Quantitative;Qn;%;Manual count;Sumsum tulang
Eosinophils/100 cells in Bone marrow by Manual count;"11106-2";Hasil;Quantitative;Qn;%;Manual count;Sumsum tulang
Lymphocytes/100 cells in Bone marrow by Manual count;"11108-8";Hasil;Quantitative;Qn;%;Manual count;Sumsum tulang
Megakaryocytes/100 cells in Bone marrow by Manual count;"11110-4";Hasil;Quantitative;Qn;%;Manual count;Sumsum tulang
Metamyelocytes/100 cells in Bone marrow by Manual count;"11111-2";Hasil;Quantitative;Qn;%;Manual count;Sumsum tulang
Monocytes/100 cells in Bone marrow by Manual count;"11112-0";Hasil;Quantitative;Qn;%;Manual count;Sumsum tulang
Myeloblasts/100 cells in Bone marrow by Manual count;"11113-8";Hasil ;Quantitative;Qn;%;Manual count;Sumsum tulang 
Myelocytes/100 cells in Bone marrow by Manual count;"11114-6";Hasil;Quantitative;Qn;%;Manual count;Sumsum tulang
Neutrophils/100 cells in Bone marrow by Manual count;"11115-3";Hasil;Quantitative;Qn;%;Manual count;Sumsum tulang
Neutrophils/100 cells in Bone marrow by Manual count;"11115-3";Hasil;Quantitative;Qn;%;Manual count;Sumsum tulang
Normoblasts Orthochromic/100 cells in Bone marrow by Manual count;"11116-1";Hasil;Quantitative;Qn;%;Manual count;Sumsum tulang
Plasma cells/100 cells in Bone marrow by Manual count;"11118-7";Hasil;Quantitative;Qn;%;Manual count;Sumsum tulang
Normoblasts Polychromatophilic/100 cells in Bone marrow by Manual count;"11119-5";Hasil;Quantitative;Qn;%;Manual count;Sumsum tulang
Promyelocytes/100 cells in Bone marrow by Manual count;"11120-3";Hasil;Quantitative;Qn;%;Manual count;Sumsum tulang
Prolymphocytes/100 cells in Bone marrow by Manual count;"11121-1";Hasil ;Quantitative;Qn;%;Manual count;Sumsum tulang 
Promonocytes/100 cells in Bone marrow by Manual count;"11122-9";Hasil;Quantitative;Qn;%;Manual count;Sumsum tulang
Pronormoblasts/100 cells in Bone marrow by Manual count;"11124-5";Hasil;Quantitative;Qn;%;Manual count;Sumsum tulang
Platelet morphology finding [Identifier] in Blood;"11125-2";Hasil;Nominal;Nom;;;Darah
Erythrocytes [Morphology] in Bone marrow;"11127-8";Hasil;Nominal;Nom;;;Sumsum tulang
Myeloid cells/Erythroid cells [# Ratio] in Bone marrow;"11138-5";Hasil;Quantitative;Qn;%;;Sumsum tulang
Blasts/100 cells in Bone marrow;"11150-0";Hasil;Quantitative;Qn;%;;Sumsum tulang
Hematocrit [Volume Fraction] of Body fluid;"11153-4";Permintaan & Hasil;Quantitative;Qn;%;;Cairan tubuh 
Leukocyte morphology finding [Identifier] in Blood;"11156-7";Hasil;Nominal;Nom;;;Darah
cefoTEtan [Susceptibility] by Minimum inhibitory concentration (MIC);"112-3";Hasil;OrdQn;OrdQn;;MIC;Isolat
Hepatitis B virus DNA [Units/volume] in Serum;"11258-1";Permintaan & Hasil;Quantitative;Qn;[IU]/mL;;Darah
Hepatitis C virus RNA [Presence] in Serum or Plasma by NAA with probe detection;"11259-9";Permintaan & Hasil;Ordinal;Ord;;Probe.amp.tar;Serum/Plasma
Bacteria identified in Vaginal fluid by Aerobe culture;"11261-5";Permintaan & Hasil;Nominal;Nom;;Aerobic culture;Cairan vagina
cefoTEtan [Susceptibility] by Disk diffusion (KB);"113-1";Hasil;OrdQn;OrdQn;;Agar diffusion;Isolat
Microscopic observation [Identifier] in Sputum by Acid fast stain;"11477-7";Permintaan & Hasil;Nominal;Nom;;Acid fast stain;Sputum
Microscopic observation [Identifier] in Stool by Acid fast stain;"11478-5";Permintaan & Hasil;Nominal;Nom;;Acid fast stain;Feses
Microscopic observation [Identifier] in Urine by Acid fast stain;"11480-1";Permintaan & Hasil;Nominal;Nom;;Acid fast stain;Urine
Varicella zoster virus DNA [Presence] in Specimen by NAA with probe detection;"11483-5";Permintaan & Hasil;Ordinal;Ord;;Probe.amp.tar;Swab/ Sekret
Virus identified in Amniotic fluid by Culture;"11484-3";Permintaan & Hasil;Nominal;Nom;;Culture;Cairan amnion
Microscopic observation [Identifier] in Specimen by Acid fast stain;"11545-1";Permintaan & Hasil;Nominal;Nom;;Acid fast stain;Lain-lain
Microscopic observation [Identifier] in Specimen by Acid fast stain;"11545-1";Permintaan & Hasil;Nominal;Nom;;Acid fast stain;Drain
Microscopic observation [Identifier] in Specimen by Acid fast stain;"11545-1";Permintaan & Hasil;Nominal;Nom;;Acid fast stain;Kerokan kornea
Microscopic observation [Identifier] in Specimen by Acid fast stain;"11545-1";Permintaan & Hasil;Nominal;Nom;;Acid fast stain;Pus
Microscopic observation [Identifier] in Specimen by Acid fast stain;"11545-1";Permintaan & Hasil;Nominal;Nom;;Acid fast stain;Swab
Microscopic exam [Interpretation] of Tissue fine needle aspirate by Cytology;"11552-7";Hasil;Nominal;Nom;;Cytology;Biopsi
Rheumatoid factor [Units/volume] in Serum or Plasma;"11572-5";Permintaan & Hasil;Quantitative;Qn;[IU]/mL;;Serum
Rheumatoid factor IgM [Units/volume] in Serum;"11573-3";Permintaan & Hasil;Quantitative;Qn;[IU]/mL;;Serum
Rheumatoid factor IgM [Units/volume] in Serum;"11573-3";Permintaan & Hasil;Quantitative;Qn;[IU]/mL;;Serum
Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.05 mIU/L;"11579-0";Permintaan & Hasil;Quantitative;Qn;m[IU]/L;Detection limit <= 0.05 mIU/L;Serum
Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L;"11580-8";Permintaan & Hasil;Quantitative;Qn;m[IU]/L;Detection limit <= 0.005 mIU/L;Serum
Heterophile Ab [Units/volume] in Serum;"11610-3";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
cefOXitin [Susceptibility] by Minimum inhibitory concentration (MIC);"116-4";Hasil;OrdQn;OrdQn;;MIC;Isolat
cefOXitin [Susceptibility] by Disk diffusion (KB);"117-2";Hasil;OrdQn;OrdQn;;Agar diffusion;Isolat
Cefpodoxime [Susceptibility] by Disk diffusion (KB);"121-4";Hasil;OrdQn;OrdQn;;Agar diffusion;Isolat
aPTT in Control Blood by Coagulation assay;"12185-5";Hasil;Quantitative;Qn;s;Coag;Darah
aPTT in Control Blood by Coagulation assay;"12185-5";Hasil;Quantitative;Qn;s;Coag;Darah
Mononuclear cells/100 leukocytes in Cerebral spinal fluid by Manual count;"12236-6";Hasil;Quantitative;Qn;%;Manual count;Cairan otak
Polymorphonuclear cells/100 leukocytes in Cerebral spinal fluid by Manual count;"12244-0";Hasil;Quantitative;Qn;%;Manual count;Cairan otak
Somatotropin [Mass/volume] in Serum or Plasma --baseline;"12253-1";Hasil;Quantitative;Qn;ng/mL;;Serum
Somatotropin [Mass/volume] in Serum or Plasma --baseline;"12253-1";Hasil;Quantitative;Qn;ng/mL;;Serum
Somatotropin [Mass/volume] in Serum or Plasma --baseline;"12253-1";Hasil;Quantitative;Qn;ng/mL;;Serum
DNA double strand Ab [Presence] in Serum by Farr method;"12277-0";Permintaan & Hasil;Ordinal;Ord;;Farr;Serum
Bacteria identified in Cervix by Anaerobe culture;"12281-2";Permintaan & Hasil;Nominal;Nom;;Anaerobic culture;Serviks
Cotinine [Presence] in Urine;"12293-7";Permintaan & Hasil;Ordinal;Ord;;;Urine
Cefprozil [Susceptibility] by Minimum inhibitory concentration (MIC);"124-8";Hasil;OrdQn;OrdQn;;MIC;Isolat
Amikacin [Susceptibility] by Minimum inhibitory concentration (MIC);"12-5";Hasil;OrdQn;OrdQn;;MIC;Isolat
Major crossmatch [Interpretation];"1250-0";Hasil;Nominal;Nom;;;Darah
Cefprozil [Susceptibility] by Disk diffusion (KB);"125-5";Hasil;OrdQn;OrdQn;;Agar diffusion;Isolat
Copper [Mass/volume] in Blood;"12556-7";Permintaan & Hasil;Quantitative;Qn;ug/dL;;Serum/Plasma
Glucose [Mass/volume] in Peritoneal dialysis fluid;"12628-4";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Cairan peritoneal dialisis
Mucin-like carcinoma associated Ag [Units/volume] in Serum or Plasma;"12776-1";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Alkaline phosphatase isoenzyme [Units/volume] in Serum or Plasma;"12805-8";Permintaan & Hasil;Quantitative;Qn;[arb'U]/L;;Serum
Prostate Specific Ag Free/Prostate specific Ag.total in Serum or Plasma;"12841-3";Hasil;Quantitative;Qn;%;;Serum
Endomysium Ab [Units/volume] in Serum;"13092-2";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Immunoelectrophoresis for Serum or Plasma;"13169-8";Hasil;Nominal;Nom;;Immunoelectrophoresis;Serum
Amikacin [Susceptibility] by Disk diffusion (KB);"13-3";Hasil;OrdQn;OrdQn;;Agar diffusion;Isolat
Bacteria identified in Semen;"13314-0";Permintaan & Hasil;Nominal;Nom;;;Semen
cefTAZidime [Susceptibility] by Minimum inhibitory concentration (MIC);"133-9";Hasil;OrdQn;OrdQn;;MIC;Isolat
Immunofixation for Urine;"13440-3";Permintaan & Hasil;Nominal;Nom;;Immunofixation;Urine
Cholesterol in VLDL [Mass/volume] in Serum or Plasma by calculation;"13458-5";Hasil;Quantitative;Qn;mg/dL;Calculated;Serum
cefTAZidime [Susceptibility] by Disk diffusion (KB);"134-7";Hasil;OrdQn;OrdQn;;Agar diffusion;Isolat
Lupus erythematosus cells [Presence] in Blood;"13507-9";Hasil;Ordinal;Ord;;;Darah
Microscopic observation [Identifier] in Bone marrow by Butyrate esterase stain;"13512-9";Permintaan & Hasil;Nominal;Nom;;Butyrate esterase stain;Sumsum tulang
Iron.microscopic observation [Identifier] in Bone marrow by Potassium ferrocyanide stain;"13513-7";Permintaan & Hasil;Nominal;Nom;;Potassium ferrocyanide stain;Sumsum tulang
Hemoglobin pattern [Interpretation] in Blood by Electrophoresis Narrative;"13514-5";Permintaan & Hasil;Narrative;Nar;;Electrophoresis;Darah
Acid hemolysis [Presence] of Blood;"13533-5";Permintaan & Hasil;Ordinal;Ord;;;Serum/Plasma
Sucrose hemolysis of Red Blood Cells;"13535-0";Hasil;Quantitative;Qn;%;;Serum
Platelet aggregation XXX induced in Platelet rich plasma;"13592-1";Hasil;Quantitative;Qn;;;Serum/Plasma
Zinc [Mass/mass] in Hair;"13652-3";Permintaan & Hasil;Quantitative;Qn;ug/g;;Rambut
Ceftizoxime [Susceptibility] by Minimum inhibitory concentration (MIC);"137-0";Hasil;OrdQn;OrdQn;;MIC;Isolat
Dimethylbenzene/Creatinine [Mass Ratio] in Urine;"13832-1";Permintaan & Hasil;Quantitative;Qn;g/g{creat};;Urine
Albumin.glycated/Albumin.total in Serum or Plasma;"13873-5";Hasil;Quantitative;Qn;%;;Serum
Ceftizoxime [Susceptibility] by Disk diffusion (KB);"138-8";Hasil;OrdQn;OrdQn;;Agar diffusion;Isolat
Vasopressin [Mass/volume] in Urine;"13903-0";Permintaan & Hasil;Quantitative;Qn;pg/mL;;Serum
Erythrocytes [#/area] in Urine sediment by Microscopy high power field;"13945-1";Hasil;Quantitative;Qn;/[HPF];Microscopy.light.HPF;Urine
Erythrocytes [#/area] in Urine sediment by Microscopy high power field;"13945-1";Hasil;Quantitative;Qn;/[HPF];Microscopy.light.HPF;Urine
Hepatitis B virus core Ab [Presence] in Serum or Plasma by Immunoassay;"13952-7";Permintaan & Hasil;Ordinal;Ord;;IA;Serum
Hepatitis B virus e Ab [Presence] in Serum or Plasma by Immunoassay;"13953-5";Permintaan & Hasil;Ordinal;Ord;;IA;Serum
Hepatitis B virus e Ag [Presence] in Serum or Plasma by Immunoassay;"13954-3";Permintaan & Hasil;Ordinal;Ord;;IA;Serum
Hepatitis C virus Ab [Presence] in Serum or Plasma by Immunoassay;"13955-0";Permintaan & Hasil;Ordinal;Ord;;IA;Serum
Mycobacterium tuberculosis DNA [Presence] in Specimen by NAA with probe detection;"13956-8";Permintaan & Hasil;Ordinal;Ord;;Probe.amp.tar;Pus
Homocysteine [Moles/volume] in Serum or Plasma;"13965-9";Permintaan & Hasil;Quantitative;Qn;umol/L;;Serum
Homocysteine [Moles/volume] in Serum or Plasma;"13965-9";Permintaan & Hasil;Quantitative;Qn;umol/L;;Serum
Homocysteine [Moles/volume] in Serum or Plasma;"13965-9";Permintaan & Hasil;Quantitative;Qn;umol/L;;Serum
Sex hormone binding globulin [Moles/volume] in Serum or Plasma;"13967-5";Permintaan & Hasil;Quantitative;Qn;nmol/L;;Serum
Sex hormone binding globulin [Moles/volume] in Serum or Plasma;"13967-5";Permintaan & Hasil;Quantitative;Qn;nmol/L;;Serum
Creatine kinase.MB [Mass/volume] in Serum or Plasma;"13969-1";Permintaan & Hasil;Quantitative;Qn;ng/mL;;Serum/Plasma
Alpha 1 globulin/Protein.total in Serum or Plasma by Electrophoresis;"13978-2";Hasil;Quantitative;Qn;%;Electrophoresis;Serum
Alpha 2 globulin/Protein.total in Serum or Plasma by Electrophoresis;"13981-6";Hasil;Quantitative;Qn;%;Electrophoresis;Serum
Beta globulin/Protein.total in Serum or Plasma by Electrophoresis;"13982-4";Hasil;Quantitative;Qn;%;Electrophoresis;Serum
Gamma globulin/Protein.total in Serum or Plasma by Electrophoresis;"13983-2";Hasil;Quantitative;Qn;%;Electrophoresis;Serum
Alpha 1 globulin/Protein.total in 24 hour Urine by Electrophoresis;"13984-0";Hasil;Quantitative;Qn;%;Electrophoresis;Urine 24 jam
Alpha 2 globulin/Protein.total in 24 hour Urine by Electrophoresis;"13987-3";Hasil;Quantitative;Qn;%;Electrophoresis;Urine 24 jam
Beta globulin/Protein.total in 24 hour Urine by Electrophoresis;"13988-1";Hasil;Quantitative;Qn;%;Electrophoresis;Urine 24 jam
Gamma globulin/Protein.total in 24 hour Urine by Electrophoresis;"13989-9";Hasil;Quantitative;Qn;%;Electrophoresis;Urine 24 jam
Alpha 1 globulin/Protein.total in Urine by Electrophoresis;"13990-7";Hasil;Quantitative;Qn;%;Electrophoresis;Urine
Alpha 2 globulin/Protein.total in Urine by Electrophoresis;"13993-1";Hasil;Quantitative;Qn;%;Electrophoresis;Urine
Beta globulin/Protein.total in Urine by Electrophoresis;"13994-9";Hasil;Quantitative;Qn;%;Electrophoresis;Urine
Gamma globulin/Protein.total in Urine by Electrophoresis;"13995-6";Hasil;Quantitative;Qn;%;Electrophoresis;Urine
CD56 cells [#/volume] in Blood;"14113-5";Hasil;Quantitative;Qn;/uL;;Darah
cefTRIAXone [Susceptibility] by Minimum inhibitory concentration (MIC);"141-2";Hasil;OrdQn;OrdQn;;MIC;Isolat
Neisseria gonorrhoeae [Presence] in Anal by Organism specific culture;"14127-5";Permintaan & Hasil;Ordinal;Ord;;Organism specific culture;Anal
CD3+CD8+ (T8 suppressor) cells [#/volume] in Blood;"14135-8";Permintaan & Hasil;Quantitative;Qn;/uL;;Darah
CD3+CD8+ (T8 suppressor) cells [#/volume] in Blood;"14135-8";Permintaan & Hasil;Quantitative;Qn;/uL;;Darah
CD3+CD8+ (T8 suppressor) cells [#/volume] in Blood;"14135-8";Permintaan & Hasil;Quantitative;Qn;/uL;;Darah
CD3+CD8+ (T8 suppressor) cells [#/volume] in Blood;"14135-8";Permintaan & Hasil;Quantitative;Qn;/uL;;Darah
Spermatozoa Progressive/100 spermatozoa in Semen;"14194-5";Hasil;Quantitative;Qn;%;;Sperma
Reticulocytes [#/volume] in Blood;"14196-0";Hasil;Quantitative;Qn;"10*3/uL";;Darah
Mitochondria Ab [Presence] in Serum;"14236-4";Permintaan & Hasil;Ordinal;Ord;;;Serum
Smooth muscle Ab [Presence] in Serum;"14252-1";Permintaan & Hasil;Ordinal;Ord;;;Serum
Benzodiazepines [Presence] in Urine by Screen method;"14316-4";Permintaan & Hasil;Ordinal;Ord;;Screen;Urine
Prealbumin [Mass/volume] in Serum or Plasma;"14338-8";Permintaan & Hasil;Quantitative;Qn;"mg/dL;g/dL";;Serum
Prealbumin [Mass/volume] in Serum or Plasma;"14338-8";Permintaan & Hasil;Quantitative;Qn;"mg/dL;g/dL";;Serum
Specific gravity of Peritoneal fluid by Refractometry;"14348-7";Permintaan & Hasil;Quantitative;Qn;;Refractometry;Cairan peritoneal
Microscopic observation [Identifier] in Vaginal fluid by KOH preparation;"14356-0";Permintaan & Hasil;Nominal;Nom;;KOH preparation;Vagina
Microscopic observation [Identifier] in Peritoneal fluid by Gram stain;"14359-4";Permintaan & Hasil;Nominal;Nom;;Gram stain;Cairan asites
Microscopic observation [Identifier] in Pleural fluid by Gram stain;"14360-2";Permintaan & Hasil;Nominal;Nom;;Gram stain;Cairan pleura
Trichomonas vaginalis [Presence] in Cervix by Wet preparation;"14366-9";Permintaan & Hasil;Ordinal;Ord;;Wet preparation;Serviks
Trichomonas vaginalis [Presence] in Vaginal fluid by Wet preparation;"14367-7";Permintaan & Hasil;Ordinal;Ord;;Wet preparation;Vagina
Trichomonas vaginalis [Presence] in Urethra by Wet preparation;"14368-5";Permintaan & Hasil;Ordinal;Ord;;Wet preparation;Uretra
Polymorphonuclear cells/100 leukocytes in Peritoneal fluid by Manual count;"14375-0";Hasil;Quantitative;Qn;%;Manual count;Cairan peritoneal
Mononuclear cells/100 leukocytes in Peritoneal fluid by Manual count;"14381-8";Hasil;Quantitative;Qn;%;Manual count;Cairan peritoneal
Triglyceride [Mass/volume] in Peritoneal fluid;"14447-7";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Cairan peritoneal 
Virus identified in Eye by Culture;"14451-9";Permintaan & Hasil;Nominal;Nom;;Culture;Mata
Virus identified in Cervix by Culture;"14452-7";Permintaan & Hasil;Nominal;Nom;;Culture;Serviks
Virus identified in Vaginal fluid by Culture;"14453-5";Permintaan & Hasil;Nominal;Nom;;Culture;Vagina
Virus identified in Nose by Culture;"14454-3";Permintaan & Hasil;Nominal;Nom;;Culture;Hidung
Virus identified in Pleural fluid by Culture;"14455-0";Permintaan & Hasil;Nominal;Nom;;Culture;Cairan pleura
Virus identified in Peritoneal fluid by Culture;"14456-8";Permintaan & Hasil;Nominal;Nom;;Culture;Cairan peritoneal
