No,Permintaan/Hasil,Tipe hasil pemeriksaan,LOINC Code,Nama Pemeriksaan,Answer List ,Code,Code System ,Keterangan 
17,Permintaan & Hasil,Quantitative,4543-5,Haptoglobin,,,,
18,Permintaan & Hasil,Quantitative,46127-7,Haptoglobin,,,,
19,Permintaan,Ordinal,X099082,Badan inklusi Hb H,,,,
20,Hasil,Ordinal,59185-9,Badan inklusi Hb H,Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
21,Permintaan & Hasil,Quantitative,27811-9,Anti trombin III,,,,
22,Permintaan & Hasil,Quantitative,31159-7,Anti Xa,,,,
23,Permintaan & Hasil,Quantitative,3179-9,Waktu perdarahan (Ivy),,,,
24,Permintaan & Hasil,Quantitative,3178-1,Waktu perdarahan (Duke),,,,
25,Permintaan & Hasil,Quantitative,5902-2,Protrombine Time (PT),,,,
26,Permintaan & Hasil,Quantitative,5964-2,Protrombine Time (PT),,,,
27,Permintaan & Hasil,Quantitative,5964-2,Protrombine Time (PT),,,,
28,Hasil,Quantitative,5901-4,Protrombine Time (PT) kontrol,,,,
29,Hasil,Quantitative,38875-1,International Normalized Ratio (INR),,,,
30,Hasil,Quantitative,34682-5,Trombotest,,,,
31,Permintaan & Hasil,Quantitative,3255-7,Fibrinogen,,,,
32,Permintaan & Hasil,Quantitative,3255-7,Fibrinogen,,,,
33,Permintaan & Hasil,Ordinal,15179-5,D-Dimer kualitatif,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
34,Permintaan & Hasil,Ordinal,29280-5,D-Dimer kualitatif,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
35,Permintaan & Hasil,Quantitative,48066-5,D-Dimer kuantitatif,,,,
36,Permintaan & Hasil,Quantitative,48058-2,D-Dimer kuantitatif,,,,
37,Permintaan & Hasil,Quantitative,48058-2,D-Dimer kuantitatif,,,,
38,Permintaan & Hasil,Quantitative,3244-1,Euglobulin clot lysis time,,,,
39,Permintaan & Hasil,Quantitative,27819-2,Protein C,,,,
40,Permintaan & Hasil,Quantitative,27818-4,Protein C,,,,
41,Permintaan & Hasil,Quantitative,27819-2,Protein C,,,,
42,Hasil,Quantitative,X099083,Protein C kontrol,,,,
43,Permintaan & Hasil,Quantitative,27822-6,Protein S,,,,
44,Hasil,Quantitative,31102-7,Protein S,,,,
45,Permintaan & Hasil,Quantitative,27822-6,Protein S,,,,
46,Hasil,Quantitative,X099084,Protein S kontrol,,,,
47,Permintaan,,X099085,Retraksi bekuan,,,,
48,Hasil,Quantitative,X099086,Volume serum,,,,
49,Permintaan & Hasil,Quantitative,49008-6,Volume cairan bekuan,,,,
50,Hasil,,X099087,Konsistensi bekuan,,,,
51,Permintaan,,X099088,Waktu trombin serial,,,,
52,Hasil,Quantitative,5955-0,Waktu trombin 0 menit kontrol,,,,
53,Permintaan & Hasil,Quantitative,3243-3,Waktu trombin 0 menit pasien,,,,
54,Hasil,Quantitative,X099089,Waktu trombin 20 menit kontrol,,,,
55,Hasil,Quantitative,X099090,Waktu trombin 20 menit pasien,,,,
56,Hasil,Quantitative,X099091,Waktu trombin 40 menit kontrol,,,,
57,Hasil,Quantitative,X099092,Waktu trombin 40 menit pasien,,,,
58,Hasil,Quantitative,X099093,Waktu trombin 60 menit kontrol,,,,
59,Hasil,Quantitative,X099094,Waktu trombin 60 menit pasien,,,,
60,Permintaan,,97915-3,Thromboplastin generation test,,,,
61,Hasil,Quantitative,97910-4,Thromboplastin generation test,,,,
62,Permintaan & Hasil,Quantitative,97911-2,Thromboplastin generation test,,,,
63,Hasil,Quantitative,97912-0,Thromboplastin generation test,,,,
64,Hasil,Quantitative,97913-8,Thromboplastin generation test,,,,
65,Permintaan & Hasil,Quantitative,97914-6,Thromboplastin generation test,,,,
66,Permintaan & Hasil,Quantitative,3243-3,Waktu thrombin (TT),,,,
67,Permintaan & Hasil,Quantitative,3243-3,Waktu thrombin (TT),,,,
68,Permintaan & Hasil,Quantitative,49010-2,Tes fungsi trombosit P2Y12 Result,,,,
69,Hasil,Quantitative,X099095,Tes fungsi trombosit P2Y12 Base,,,,
70,Hasil,Quantitative,5992-3,Tes fungsi trombosit P2Y12 Inhibition,,,,
71,Permintaan & Hasil,Quantitative,49011-0,Fungsi trombosit aspirin,,,,
72,Permintaan,,X099096,Immunophenotyping leukemia,,,,
73,Hasil,Narrative,49493-0,Immunophenotyping Leukemia,,,,
74,Permintaan,,X099097,Immunophenotyping leukemia akut,,,,
75,Hasil,Narrative,45267-2,Immunophenotyping leukemia akut,,,,
76,Permintaan,,X099098,Immunophenotyping leukemia kronis,,,,
77,Hasil,Narrative,45266-4,Immunophenotyping leukemia kronis,,,,
78,Permintaan,,47286-0,Gambaran sumsum tulang,,,,
79,Hasil,Nominal,74232-0,Kepadatan Sel :,Hypercellular,76197007,http://snomed.info/sct,
,,,,,Hypocellular,55199003,http://snomed.info/sct,
,,,,,Normocellular,446409001,http://snomed.info/sct,
80,Hasil,Ordinal,X099099,Sel lemak,Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
81,Hasil,Narrative,74229-6,Trombopoesis,,,,
82,Hasil,Ordinal,40688-4,Jumlah megakariosit sumsum tulang,,,,
83,Hasil,Quantitative,11110-4,Megakariosit,,,,
84,Hasil,Narrative,74229-6,Bentuk abnormal,,,,
85,Hasil,Narrative,74229-6,Pembentukan trombosit,,,,
86,Hasil,Narrative,74228-8,Granulopoiesis,,,,
87,Permintaan,Quantitative,47286-0,Hitung jenis sumsum tulang,,,,
88,Hasil,Quantitative,11150-0,Sel blas sumsum tulang,,,,
89,Hasil,Quantitative,11120-3,Promielosit,,,,
90,Hasil,Quantitative,11114-6,Mielosit sumsum tulang,,,,
91,Hasil,Quantitative,11111-2,Metamielosit sumsum tulang,,,,
92,Hasil,Quantitative,11103-9,Neutrofil batang sumsum tulang,,,,
93,Hasil,Quantitative,11115-3,Neutrofil,,,,
94,Hasil,Quantitative,11105-4,Basofil sumsum tulang,,,,
95,Hasil,Quantitative,11106-2,Eosinofil sumsum tulang,,,,
96,Hasil,Quantitative,11112-0,Monosit,,,,
97,Hasil,Quantitative,11122-9,Promonosit,,,,
98,Hasil,Quantitative,11108-8,Limfosit sumsum tulang,,,,
99,Hasil,Quantitative,11118-7,Plasmosit,,,,
100,Hasil,Quantitative,74453-2,Histiosit,,,,
101,Hasil,Quantitative,11124-5,Rubriblas/Pronormosit,,,,
102,Hasil,Quantitative,11104-7,Prorubrisit/Normoblas basofilik,,,,
103,Hasil,Quantitative,11119-5,Rubrisit/Normoblas polikromatofilik,,,,
104,Hasil,Quantitative,11116-1,Metarubrisit/Normoblas ortokromik,,,,
105,Hasil,Quantitative,11138-5,Rasio myeloid-eritroid (M:E Ratio),,,,
106,Hasil,Quantitative,52127-8,Megaloblas,,,,
107,Hasil,Quantitative,42215-4,Eritrosit berinti,,,,
108,Hasil,Narrative,74231-2,Eritropoiesis,,,,
109,Hasil,Nominal,11127-8,Kelainan morfologi eritrosit,Normal ,LA6626-1,http://loinc.org,
,,,,,Abnormal ,LA12748-2,http://loinc.org,
,,,,,Acanthocytes,LA11190-8,http://loinc.org,
,,,,,Anisochromasia,LA11220-3,http://loinc.org,
,,,,,Anisocytosis,LA11191-6,http://loinc.org,
,,,,,Anulocytes,LA11221-1,http://loinc.org,
,,,,,Basophilic stippling,LA11226-0,http://loinc.org,
,,,,,Basophilic stippling coarse,LA11227-8,http://loinc.org,
,,,,,Basophilic stippling fine,LA11228-6,http://loinc.org,
,,,,,Bite cells,LA11192-4,http://loinc.org,
,,,,,Bizarre cells,LA11193-2,http://loinc.org,
,,,,,Blister cells,LA11194-0,http://loinc.org,
,,,,,Burr cells,LA11195-7,http://loinc.org,
,,,,,Cabot rings,LA11229-4,http://loinc.org,
,,,,,Dacrocytes,LA11196-5,http://loinc.org,
,,,,,Dyserythropoieisis,LA11197-3,http://loinc.org,
,,,,,Elliptocytes,LA11198-1,http://loinc.org,
,,,,,Erythrocytes.filamented,LA11200-5,http://loinc.org,
,,,,,Fragments,LA11201-3,http://loinc.org,
,,,,,Heinz bodies,LA11230-2,http://loinc.org,
,,,,,Helmet cells,LA11202-1,http://loinc.org,
,,,,,Hemoglobin C crystals,LA11231-0,http://loinc.org,
,,,,,Howell-Jolly bodies,LA11232-8,http://loinc.org,
,,,,,Hyperchromic,LA11222-9,http://loinc.org,
,,,,,Hypochromia,LA11223-7,http://loinc.org,
,,,,,Irregularly contracted cells,LA11203-9,http://loinc.org,
,,,,,Macrocytes,LA11216-1,http://loinc.org,
,,,,,Macrocytes.oval,LA11217-9,http://loinc.org,
,,,,,Microcytes,LA11218-7,http://loinc.org,
,,,,,Normochromic,LA11224-5,http://loinc.org,
,,,,,Normocytic,LA11219-5,http://loinc.org,
,,,,,Ovalocytes,LA11199-9,http://loinc.org,
,,,,,Pappenheimer bodies,LA11233-6,http://loinc.org,
,,,,,Pencil cells,LA11204-7,http://loinc.org,
,,,,,Poikilocytosis,LA11205-4,http://loinc.org,
,,,,,Polychromasia,LA11225-2,http://loinc.org,
,,,,,Prekeratocytes,LA11206-2,http://loinc.org,
,,,,,Pyknosis,LA11207-0,http://loinc.org,
,,,,,Rouleaux,LA11208-8,http://loinc.org,
,,,,,Schistocytes,LA11209-6,http://loinc.org,
,,,,,Sickle cells,LA11210-4,http://loinc.org,
,,,,,Siderocytes,LA11211-2,http://loinc.org,
,,,,,Spherocytes,LA11212-0,http://loinc.org,
,,,,,Spherocytes.micro,LA11213-8,http://loinc.org,
,,,,,Stomatocytes,LA11214-6,http://loinc.org,
,,,,,Target cells,LA11215-3,http://loinc.org,
,,,,,Other,LA46-8,http://loinc.org,
110,Hasil,Ordinal,X099100,Giant metamielosit,Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
111,Hasil,Ordinal,X099101,Giant stab,Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
112,Hasil,Ordinal,X099102,Hipersegmentasi (> 6),Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
113,Hasil,Ordinal,X099103,Hipogranulasi,Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
114,Hasil,Ordinal,X099104,Vakuolisasi,Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
115,Hasil,Ordinal,X099105,Anomali Pelger-Huest,Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
116,Hasil,Ordinal,X099106,Karioreksis,Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
117,Hasil,Ordinal,X099107,Sel mitosis,Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
118,Hasil,Ordinal,X099108,Sel tak dikenal,Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
119,Hasil,Ordinal,X099109,Limfosit Abnormal,Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
120,Hasil,Nominal,X099110,Lain-lain (Hapusan sumsum tulang),Other,LA46-8,http://loinc.org,
121,Hasil,Narrative,X099111,Saran,,,,
122,Permintaan & Hasil,Ordinal,32672-8,Cold agglutinin,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
123,Permintaan & Hasil,Quantitative,14658-9,Cold agglutinin,,,,
124,Permintaan,,58410-2,Darah rutin,,,,
125,Permintaan,Quantitative,57021-8,Darah perifer lengkap,,,,
126,Permintaan & Hasil,Quantitative,718-7,Hemoglobin,,,,
127,Permintaan & Hasil,Quantitative,20570-8,Hematokrit,,,,
128,Permintaan & Hasil,Quantitative,4544-3,Hematokrit,,,,
129,Permintaan & Hasil,Quantitative,4545-0,Hematokrit,,,,
130,Permintaan & Hasil,Quantitative,31100-1,Hematokrit,,,,
131,Hasil,Quantitative,26453-1,Eritrosit,,,,
132,Hasil,Quantitative,790-6,Eritrosit,,,,
133,Permintaan & Hasil,Quantitative,789-8,Eritrosit,,,,
134,Hasil,Quantitative,30428-7,MCV,,,,
135,Hasil,Quantitative,787-2,MCV,,,,
136,Hasil,Quantitative,28539-5,MCH,,,,
137,Hasil,Quantitative,785-6,MCH,,,,
138,Hasil,Quantitative,28540-3,MCHC,,,,
139,Hasil,Quantitative,786-4,MCHC,,,,
140,Permintaan & Hasil,Quantitative,26464-8,Leukosit,,,,
141,Hasil,Quantitative,804-5,Leukosit,,,,
142,Permintaan & Hasil,Quantitative,6690-2,Leukosit,,,,
143,Permintaan & Hasil,Quantitative,26515-7,Trombosit,,,,
144,Permintaan & Hasil,Quantitative,778-1,Trombosit,,,,
145,Permintaan & Hasil,Quantitative,777-3,Trombosit,,,,
146,Hasil,Nominal,X099112,Hitung jenis darah,,,,
147,Hasil,Quantitative,30180-4,Basofil,,,,
148,Hasil,Quantitative,707-0,Basofil,,,,
149,Hasil,Quantitative,706-2,Basofil,,,,
150,Hasil,Quantitative,26450-7,Eosinofil,,,,
151,Hasil,Quantitative,714-6,Eosinofil,,,,
152,Hasil,Quantitative,713-8,Eosinofil,,,,
153,Hasil,Quantitative,26511-6,Neutrofil,,,,
154,Hasil,Quantitative,23761-0,Neutrofil,,,,
155,Hasil,Quantitative,770-8,Neutrofil,,,,
156,Hasil,Quantitative,26505-8,Neutrofil segmen,,,,
157,Hasil,Quantitative,769-0,Neutrofil segmen,,,,
158,Hasil,Quantitative,32200-8,Neutrofil segmen,,,,
159,Hasil,Quantitative,26508-2,Neutrofil batang,,,,
160,Hasil,Quantitative,764-1,Neutrofil batang,,,,
161,Hasil,Quantitative,35332-6,Neutrofil batang,,,,
162,Hasil,Quantitative,26478-8,Limfosit,,,,
163,Hasil,Quantitative,737-7,Limfosit,,,,
164,Hasil,Quantitative,736-9,Limfosit,,,,
165,Hasil,Quantitative,26485-3,Monosit,,,,
166,Hasil,Quantitative,744-3,Monosit,,,,
167,Hasil,Quantitative,5905-5,Monosit,,,,
168,Hasil,Quantitative,26463-0,Large Unstained Cell (LUC) relatif,,,,
169,Hasil,Quantitative,26462-2,Large Unstained Cell (LUC) absolut,,,,
170,Hasil,Quantitative,30413-9,High Fluorescence Lymphocytes Count (HFLC),,,,
171,Permintaan,Quantitative,57022-6,Darah perifer lengkap dengan sediaan apusan darah tepi,,,,
172,Permintaan,,34994-4,Sediaan Apusan Darah Tepi (SADT),,,,
173,Hasil,Quantitative,714-6,Eosinofil (SADT),,,,
174,Hasil,Quantitative,707-0,Basofil (SADT),,,,
175,Hasil,Quantitative,764-1,Neutrofil batang (SADT),,,,
176,Hasil,Quantitative,769-0,Neutrofil segmen (SADT),,,,
177,Hasil,Quantitative,737-7,Limfosit (SADT),,,,
178,Hasil,Quantitative,744-3,Monosit (SADT),,,,
179,Hasil,Quantitative,34921-7,Limfosit plasma biru (SADT),,,,
180,Hasil,Quantitative,33835-0,Limfosit plasma biru (SADT),,,,
181,Hasil,Nominal,11125-2,Trombosit (SADT),Normal ,LA6626-1,http://loinc.org,
,,,,,Abnormal ,LA12748-2,http://loinc.org,
,,,,,Platelet anisocytosis,LA11165-0,http://loinc.org,
,,,,,Platelet clump,LA11168-4,http://loinc.org,
,,,,,Platelet large fragments,LA11167-6,http://loinc.org,
,,,,,Platelet satellitism,LA11166-8,http://loinc.org,
,,,,,Platelets.agranular,LA11169-2,http://loinc.org,
,,,,,Platelets.giant,LA11170-0,http://loinc.org,
,,,,,Platelets.large,LA11172-6,http://loinc.org,
,,,,,Platelets.small,LA11171-8,http://loinc.org,
,,,,,Other,LA46-8,http://loinc.org,
,,,,Kesan jumlah ,Decreased,LA24378-4,http://loinc.org,
,,,,,Normal ,LA6626-1,http://loinc.org,
,,,,,Increased,LA24377-6,http://loinc.org,
182,Hasil,Nominal,6742-1,Eritrosit (SADT),Normal ,LA6626-1,http://loinc.org,
,,,,,Abnormal ,LA12748-2,http://loinc.org,
,,,,,Acanthocytes,LA11190-8,http://loinc.org,
,,,,,Anisochromasia,LA11220-3,http://loinc.org,
,,,,,Anisocytosis,LA11191-6,http://loinc.org,
,,,,,Anulocytes,LA11221-1,http://loinc.org,
,,,,,Basophilic stippling,LA11226-0,http://loinc.org,
,,,,,Basophilic stippling coarse,LA11227-8,http://loinc.org,
,,,,,Basophilic stippling fine,LA11228-6,http://loinc.org,
,,,,,Bite cells,LA11192-4,http://loinc.org,
,,,,,Bizarre cells,LA11193-2,http://loinc.org,
,,,,,Blister cells,LA11194-0,http://loinc.org,
,,,,,Burr cells,LA11195-7,http://loinc.org,
,,,,,Cabot rings,LA11229-4,http://loinc.org,
,,,,,Dacrocytes,LA11196-5,http://loinc.org,
,,,,,Dyserythropoieisis,LA11197-3,http://loinc.org,
,,,,,Elliptocytes,LA11198-1,http://loinc.org,
,,,,,Erythrocytes.filamented,LA11200-5,http://loinc.org,
,,,,,Fragments,LA11201-3,http://loinc.org,
,,,,,Heinz bodies,LA11230-2,http://loinc.org,
,,,,,Helmet cells,LA11202-1,http://loinc.org,
,,,,,Hemoglobin C crystals,LA11231-0,http://loinc.org,
,,,,,Howell-Jolly bodies,LA11232-8,http://loinc.org,
,,,,,Hyperchromic,LA11222-9,http://loinc.org,
,,,,,Hypochromia,LA11223-7,http://loinc.org,
,,,,,Irregularly contracted cells,LA11203-9,http://loinc.org,
,,,,,Macrocytes,LA11216-1,http://loinc.org,
,,,,,Macrocytes.oval,LA11217-9,http://loinc.org,
,,,,,Microcytes,LA11218-7,http://loinc.org,
,,,,,Normochromic,LA11224-5,http://loinc.org,
,,,,,Normocytic,LA11219-5,http://loinc.org,
,,,,,Ovalocytes,LA11199-9,http://loinc.org,
,,,,,Pappenheimer bodies,LA11233-6,http://loinc.org,
,,,,,Pencil cells,LA11204-7,http://loinc.org,
,,,,,Poikilocytosis,LA11205-4,http://loinc.org,
,,,,,Polychromasia,LA11225-2,http://loinc.org,
,,,,,Prekeratocytes,LA11206-2,http://loinc.org,
,,,,,Pyknosis,LA11207-0,http://loinc.org,
,,,,,Rouleaux,LA11208-8,http://loinc.org,
,,,,,Schistocytes,LA11209-6,http://loinc.org,
,,,,,Sickle cells,LA11210-4,http://loinc.org,
,,,,,Siderocytes,LA11211-2,http://loinc.org,
,,,,,Spherocytes,LA11212-0,http://loinc.org,
,,,,,Spherocytes.micro,LA11213-8,http://loinc.org,
,,,,,Stomatocytes,LA11214-6,http://loinc.org,
,,,,,Target cells,LA11215-3,http://loinc.org,
,,,,,Other,LA46-8,http://loinc.org,
183,Hasil,Nominal,11156-7,Leukosit (SADT),Normal ,LA6626-1,http://loinc.org,
,,,,,Abnormal ,LA12748-2,http://loinc.org,
,,,,,Auer rods,LA11178-3,http://loinc.org,
,,,,,Barr bodies,LA11179-1,http://loinc.org,
,,,,,Dohle body,LA11180-9,http://loinc.org,
,,,,,Hairy cells,LA11186-6,http://loinc.org,
,,,,,Neutrophils.agranular,LA11187-4,http://loinc.org,
,,,,,Neutrophils.hypersegmented,LA11188-2,http://loinc.org,
,,,,,Neutrophils.vacuolated,LA11189-0,http://loinc.org,
,,,,,Sezary cells,LA11184-1,http://loinc.org,
,,,,,Smudge cells,LA11183-3,http://loinc.org,
,,,,,Toxic granules,LA11182-5,http://loinc.org,
,,,,,Toxic vacuoles,LA11181-7,http://loinc.org,
,,,,,Other,LA46-8,http://loinc.org,
,,,,Kesan jumlah ,Decreased,LA24378-4,http://loinc.org,
,,,,,Normal ,LA6626-1,http://loinc.org,
,,,,,Increased,LA24377-6,http://loinc.org,
184,Hasil,Quantitative,26446-5,Mieloblast,,,,
185,Hasil,Quantitative,709-6,Mieloblast (SADT),,,,
186,Hasil,Quantitative,26524-9,Promielosit,,,,
187,Hasil,Quantitative,783-1,Promielosit (SADT),,,,
188,Hasil,Quantitative,26498-6,Mielosit,,,,
189,Hasil,Quantitative,749-2,Mielosit (SADT),,,,
190,Hasil,Quantitative,28541-1,Metamielosit,,,,
191,Hasil,Quantitative,740-1,Metamielosit (SADT),,,,
192,Hasil,Narrative,48767-8,Kesan,,,,
193,Hasil,Narrative,X099111,Saran (SADT),,,,
194,Permintaan & Hasil,Quantitative,30341-2,Laju Endap Darah (LED),,,,
195,Permintaan & Hasil,Quantitative,4537-7,Laju Endap Darah (LED),,,,
196,Permintaan & Hasil,Quantitative,4538-5,Laju Endap Darah (LED),,,,
197,Permintaan & Hasil,Quantitative,82477-1,Laju Endap Darah (LED),,,,
198,Permintaan & Hasil,Quantitative,82477-1,Laju Endap Darah (LED),,,,
199,Hasil,Quantitative,X099113,Rasio hitung neutrofil-limfosit (NLCR),,,,
200,Hasil,Quantitative,30385-9,RDW-CV,,,,
201,Hasil,Quantitative,788-0,RDW-CV,,,,
202,Hasil,Quantitative,30384-2,RDW-SD,,,,
203,Hasil,Quantitative,21000-5,RDW-SD,,,,
204,Hasil,Quantitative,42810-2,Reticulocyte hemoglobin content,,,,
205,Hasil,Quantitative,71694-4,Reticulocyte hemoglobin content,,,,
206,Hasil,Quantitative,14196-0,Jumlah retikulosit absolut,,,,
207,Permintaan & Hasil,Quantitative,40665-2,Jumlah retikulosit absolut,,,,
208,Permintaan & Hasil,Quantitative,60474-4,Jumlah retikulosit absolut,,,,
209,Permintaan & Hasil,Quantitative,17849-1,Jumlah retikulosit relatif,,,,
210,Hasil,Quantitative,31112-6,Jumlah retikulosit relatif,,,,
211,Permintaan & Hasil,Quantitative,4679-7,Jumlah retikulosit relatif,,,,
212,Hasil,Quantitative,31111-8,Indeks Produksi Retikulosit (RPI),,,,
213,Permintaan & Hasil,Quantitative,71693-6,Immature Platelet Function (IPF),,,,
214,Hasil,Quantitative,90223-9,Immature/Total Neutrophil Ratio (I/T Ratio),,,,
215,Hasil,Quantitative,28542-9,Mean Platelet Volume (MPV),,,,
216,Hasil,Quantitative,776-5,Mean Platelet Volume (MPV),,,,
217,Hasil,Quantitative,32623-1,Mean Platelet Volume (MPV),,,,
218,Hasil,Quantitative,33516-6,Immature Reticulocyte Fraction (IRF),,,,
219,Hasil,Quantitative,82591-9,Low Fluorescence Ratio (LFR),,,,
220,Hasil,Quantitative,82592-7,Medium Fluorescence Ratio (MFR),,,,
221,Hasil,Quantitative,51642-7,High Fluorescence Ratio (HFR),,,,
222,Hasil,Quantitative,30392-5,Eritrosit berinti (Nucleated RBC/NRBC),,,,
223,Hasil,Quantitative,772-4,Eritrosit berinti (Nucleated RBC/NRBC),,,,
224,Permintaan & Hasil,Quantitative,771-6,Eritrosit berinti (Nucleated RBC/NRBC),,,,
225,Hasil,Quantitative,38518-7,Granulosit imatur (Immature Granulocyte/IG),,,,
226,Hasil,Quantitative,71695-1,Granulosit imatur (Immature Granulocyte/IG),,,,
227,Hasil,Quantitative,71691-0,Hematopoietic progenitor cells (HPC),,,,
228,Hasil,Quantitative,51631-0,Platelet Distribution Width (PDW),,,,
229,Hasil,Quantitative,48386-7,Platelet Large Cell Ratio (P-LCR),,,,
230,Permintaan & Hasil,Quantitative,33959-8,Procalcitonin (PCT),,,,
231,Permintaan & Hasil,Quantitative,75241-0,Procalcitonin (PCT),,,,
232,Permintaan & Hasil,Quantitative,75241-0,Procalcitonin (PCT),,,,
233,Permintaan & Hasil,Quantitative,30378-4,Eosinofil sekret hidung,,,,
234,Permintaan & Hasil,Quantitative,9727-9,Eosinofil sekret hidung,,,,
235,Permintaan,,34530-6,Golongan darah ABO dan Rhesus,,,,
236,Permintaan & Hasil,Nominal,883-9,Golongan darah ABO,Group A,LA19710-5,http://loinc.org,
,,,,,Group B,LA19709-7,http://loinc.org,
,,,,,Group O,LA19708-9,http://loinc.org,
,,,,,Group AB,LA28449-9,http://loinc.org,
237,Permintaan & Hasil,Nominal,10331-7,Golongan darah Rhesus,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
238,Permintaan & Hasil,Nominal,882-1,Golongan darah ABO dan Rhesus,O Pos,LA21321-7,http://loinc.org,
,,,,,O Neg,LA21322-5,http://loinc.org,
,,,,,B Pos,LA21327-4,http://loinc.org,
,,,,,B Neg,LA21328-2,http://loinc.org,
,,,,,AB Pos,LA21323-3,http://loinc.org,
,,,,,AB Neg,LA21324-1,http://loinc.org,
,,,,,A Pos,LA21325-8,http://loinc.org,
,,,,,A Neg,LA21326-6,http://loinc.org,
239,Permintaan,,94537-8,Analisa Hb,,,,
240,Permintaan,Quantitative,43113-0,Analisa Hb,,,,
241,Hasil,Quantitative,4546-8,Hemoglobin A (Hb A),,,,
242,Hasil,Quantitative,42244-4,Hemoglobin A (Hb A),,,,
243,Hasil,Quantitative,20572-4,Hemoglobin A (Hb A),,,,
244,Hasil,Quantitative,4551-8,Hemoglobin A2 (Hb A2),,,,
245,Hasil,Quantitative,42245-1,Hemoglobin A2 (Hb A2),,,,
